구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
70,부산,부산광역시 기장군 장안읍 장안리 598,35.3745529,129.2329111,장안사,조계종
71,부산,부산광역시 기장군 철마면 고촌리 319,35.2454895,129.1697039,고불사,조계종
72,부산,부산광역시 기장군 기장읍 연화리 473-1,35.2057373,129.2256018,해광사,조계종
73,부산,부산광역시 남구 대연4동 949-14,35.1296441,129.0905304,불곡암,조계종
74,부산,부산광역시 남구 문현1동 산74-1,35.1458086,129.076809,성암사,조계종
75,부산,부산광역시 동구 수정동 1174-8,35.1266879,129.0395899,묘심사,조계종
76,부산,부산광역시 동구 좌천동 839-3,35.1330333,129.0490035,연등사,조계종
77,부산,부산광역시 동구 초량동 843,35.1201855,129.0298246,금수사,원효종
78,부산,부산광역시 동래구 온천1동 282,35.2215727,129.0743129,금정선원,선학원
79,부산,부산광역시 동래구 칠산동 239-2,35.2037305,129.0884304,법륜사,조계종
80,부산,부산광역시 사상구 덕포2동 21-2,35.1770834,128.9954982,선광사,법화종
81,부산,부산광역시 사상구 덕포2동 산21-1,35.1705872,128.9849519,약수암,법화종
82,부산,부산광역시 사상구 모라3동 산5,35.1846358,128.9960099,운수사,조계종
83,부산,부산광역시 서구 서대신동 3가 산3-5,35.1287,129.011585,내원정사,조계종
84,부산,부산광역시 수영구 망미1동 950,35.1763611,129.1071665,영주암,조계종
85,부산,부산광역시 수영구 민락동 372-2,35.1649781,129.1231876,옥련선원,옥련선원
86,부산,부산광역시 연제구 거재2동 1396-2,35.1890497,129.0617733,금용암,조계종
87,부산,부산광역시 연제구 연산4동 1112,35.1847457,129.0865039,감천사,조계종
88,부산,부산광역시 연제구 연산4동 113-1,35.1847457,129.0865039,혜원정사,조계종
89,부산,부산광역시 연제구 연산7동 2039,35.1717416,129.0886989,마하사,조계종
90,부산,부산광역시 영도구 신선동 3가 산 6-1,35.082841,129.0499441,복천사,조계종
91,부산,부산광역시 진구 범천2동 1534-1,35.1480594,129.0485364,광명사,조계종
92,부산,부산광역시 진구 부암3동 628,35.1728191,129.0365573,선암사,조계종
93,부산,부산광역시 해운대구 우동2로 40-6,35.1683193,129.1591128,해운정사,선학원
94,부산,부산광역시 해운대구 반여3동 산 131-5,35.2003938,129.1332514,관음정사,조계종
95,대구,대구광역시 남구 앞산순환로 440(대명동 1480-1번지),35.8236006,128.5753648,안일사,조계종
96,대구,대구광역시 남구 고산3길 96-4(봉덕동 산148번지),35.8232031,128.5968464,법장사,조계종
97,대구,대구광역시 남구 앞산순환로 574-120(봉덕동 1572번지),35.8235878,128.5896298,은적사,조계종
